"Gene","Module"
"BACC1","brown"
"BACE1","green"
"BACE2","grey"
"BACH1","turquoise"
"BACH2","red"
"BAG1","grey"
"BAG2","turquoise"
"BAG3","grey"
"BAG5","turquoise"
"BAG6","grey"
"BAGE3","grey"
"BAHCC1","turquoise"
"BAIAP2","grey"
"BAIAP2-DT","grey"
"BAIAP2L1","pink"
"BAIAP2L2","grey"
"BAIAP3","greenyellow"
"BAK1","turquoise"
"BAMBI","grey"
"BANF2","green"
"BANK1","red"
"BANP","grey"
"BAP1","brown"
"BARD1","magenta"
"BARHL1","blue"
"BARHL2","blue"
"BARX1","blue"
"BARX2","grey"
"BASP1","yellow"
"BATF","grey"
"BATF2","turquoise"
"BAX","turquoise"
"BAZ1A","black"
"BAZ1B","turquoise"
"BAZ2A","brown"
"BAZ2B","grey"
"BBC3","blue"
"BBLN","blue"
